Nama,Rating,Tanggal,Ulasan
Dicky F. S.,10,04/19/2023,"Pelayanan mantap. Kami dikasi early check in. Room family studio luas, cocok banget untuk keluarga. Terima kasih aston. Next pasti menginap di sini lagi."
MUHAMMAD R. R.,10,03/01/2023,
Dedi C.,10,01/08/2023,Menyenangkan. Terutama sarapanya selalu bermacam” menu yang membuat kita ingin memcicipi nya. ?.
MUHAMMAD R. R.,10,03/01/2023,
Dedi C.,10,01/08/2023,Menyenangkan. Terutama sarapanya selalu bermacam” menu yang membuat kita ingin memcicipi nya. ?.
Ulfa f.,10,10/14/2022,Sarapannya enak semua. Kamarnya luas. Nyaman. Terfavorit.
ika m.,10,08/21/2022,Pelayanan yang sangat amat ramah. Kamar sangat-sangat bersih. Fasilitas luar biasa. Yang lebih luar biasanya setiap kami meminta handuk perlengkapanandi seperti odol sabun dan lain-lain selalu diberikan lebih. Untuk makanan yang sangat luar biasa pelayanan baik. Ada satu cerita waktu makan karena saya bawa anak adalah saya meminta sosis untuk dibawa ke kamar. Tanggapnnya sangat-sangat baik bahkan diberikan tempat untuk menyimpan sosis yang saya minta. Di hotel lain belum tentu bisa seperti itu. Terus yang lebih mantapnya lagi saya menyewa kamar yang untuk fasilitas tiga orang. Karena ada alasan ntah apa itu kamar saya di up menjadi kamar yang lebih luas untuk fasilitas lima orang. Ya Allah terima kasih banyak untuk seluruh staff hotel Aston hotel dan residence.
Rizqa S. A.,10,08/16/2022,"Memuaskan sudah 2x nginap di sini, dulu 2018 pernah nginap di sini tetap di residence nya. Pokoknya sangat memuaskan?"
Herianto T.,10,07/11/2022,Super duper bersih dan nyaman banget stay di sini.
Ulfa f.,10,10/14/2022,Sarapannya enak semua. Kamarnya luas. Nyaman. Terfavorit.
ika m.,10,08/21/2022,Pelayanan yang sangat amat ramah. Kamar sangat-sangat bersih. Fasilitas luar biasa. Yang lebih luar biasanya setiap kami meminta handuk perlengkapanandi seperti odol sabun dan lain-lain selalu diberikan lebih. Untuk makanan yang sangat luar biasa pelayanan baik. Ada satu cerita waktu makan karena saya bawa anak adalah saya meminta sosis untuk dibawa ke kamar. Tanggapnnya sangat-sangat baik bahkan diberikan tempat untuk menyimpan sosis yang saya minta. Di hotel lain belum tentu bisa seperti itu. Terus yang lebih mantapnya lagi saya menyewa kamar yang untuk fasilitas tiga orang. Karena ada alasan ntah apa itu kamar saya di up menjadi kamar yang lebih luas untuk fasilitas lima orang. Ya Allah terima kasih banyak untuk seluruh staff hotel Aston hotel dan residence.
Rizqa S. A.,10,08/16/2022,"Memuaskan sudah 2x nginap di sini, dulu 2018 pernah nginap di sini tetap di residence nya. Pokoknya sangat memuaskan?"
Herianto T.,10,07/11/2022,Super duper bersih dan nyaman banget stay di sini.
Tjoa H. T.,10,07/10/2022,"Letak hotel sangat strategis dekat dengan pusat belanja dan business, hotel dan kamar bersih, makanan breakfast enak dan banyak variasi, pelayanan breakfast sangat bagus dan tempat breakfast bersih, receptionist waktu check in dan check out ramah dan cepat. Kamarnya cukup luas. Sangat recommended."
marta r. l.,10,06/26/2022,"Suasananya enak banget, kamar bersih, staff ramah serta sarapan nya enak banget."
Rio M.,10,06/06/2022,Saya sangat senang menginap di Aston Batam Hotel & Residence. Staff ramah & helpful. Sarapan enak dan banyak variasi. Kolam renang bersih.
Novi S.,10,05/31/2022,Hotel dari Archipelago Group yang sangat bagus. Pelayanan kelas atas dan makanan yang enak. Lokasi hotel yang berada di tengah kota juga menjadi nilai tambah bagi pelancong dari luar Batam yang ingin explore kota Batam.
Edy S. R.,10,05/31/2022,"Selalu menyenangkan menginap di Aston Batam Hotel & Residence. Staff nya ramah, kamar bersih & luas, pool yang bersih serta sarapan dengan rasa yang baik dan bervariasi."
Tjoa H. T.,10,07/10/2022,"Letak hotel sangat strategis dekat dengan pusat belanja dan business, hotel dan kamar bersih, makanan breakfast enak dan banyak variasi, pelayanan breakfast sangat bagus dan tempat breakfast bersih, receptionist waktu check in dan check out ramah dan cepat. Kamarnya cukup luas. Sangat recommended."
marta r. l.,10,06/26/2022,"Suasananya enak banget, kamar bersih, staff ramah serta sarapan nya enak banget."
Rio M.,10,06/06/2022,Saya sangat senang menginap di Aston Batam Hotel & Residence. Staff ramah & helpful. Sarapan enak dan banyak variasi. Kolam renang bersih.
Novi S.,10,05/31/2022,Hotel dari Archipelago Group yang sangat bagus. Pelayanan kelas atas dan makanan yang enak. Lokasi hotel yang berada di tengah kota juga menjadi nilai tambah bagi pelancong dari luar Batam yang ingin explore kota Batam.
Edy S. R.,10,05/31/2022,"Selalu menyenangkan menginap di Aston Batam Hotel & Residence. Staff nya ramah, kamar bersih & luas, pool yang bersih serta sarapan dengan rasa yang baik dan bervariasi."
Ariel N.,10,04/02/2022,
Tomi C.,10,03/12/2022,"Semuanya sudah oke, cuma satu yang kurang, wifi-nya gak bisa nyambung. Saya menginap di lantai 6 tulisannya menyambungkan aja, 3 HP sama semua. Kalo kita bawa HP ke lobby bisa nyambung, jadi semoga segera diperbaiki."
Ariel N.,10,04/02/2022,
Tomi C.,10,03/12/2022,"Semuanya sudah oke, cuma satu yang kurang, wifi-nya gak bisa nyambung. Saya menginap di lantai 6 tulisannya menyambungkan aja, 3 HP sama semua. Kalo kita bawa HP ke lobby bisa nyambung, jadi semoga segera diperbaiki."
Dina a.,10,01/18/2022,"Rekomend buat keluarga kecil yang ingin liburan, kamarnya luas, kamar mandi juga luas, lobynya nyaman, pelayanannya ramah-ramah banget, breakfastnya enak-enak banyak menu?"
Dina a.,10,01/18/2022,"Rekomend buat keluarga kecil yang ingin liburan, kamarnya luas, kamar mandi juga luas, lobynya nyaman, pelayanannya ramah-ramah banget, breakfastnya enak-enak banyak menu?"
Debie A.,10,01/16/2022,Saya sangat menikmati pengalaman menginap di sini. Akomodasi ini sungguh membantu segala kebutuhan keluarga Saya selama menginap. Sangat direkomendasikan.
wihar p. d.,10,12/26/2021,
Debie A.,10,01/16/2022,Saya sangat menikmati pengalaman menginap di sini. Akomodasi ini sungguh membantu segala kebutuhan keluarga Saya selama menginap. Sangat direkomendasikan.
wihar p. d.,10,12/26/2021,
Edy S. R.,10,12/17/2021,Selalu menyenangkan menginap di Aston Batam Hotel and Residence. Lokasi tepat di tengah kota hingga mempermudah tamu jika ingin explore Kota Batam. Makanan yang dipersiapkan untuk sarapan pun enak. Terima Kasih Aston Batam Hotel & Residence. Terima Kasih Traveloka.
Nuri S.,10,Profil ini privat.,"Aston Batam is great place to stay, baru pertama kali nginep disinu buat staycation. Tempatnya cozy, makanannya enak dan banyak variasi. Ga bakal bosen nginep di sini karena deket pusat kota Batam"
Edy S. R.,10,12/17/2021,Selalu menyenangkan menginap di Aston Batam Hotel and Residence. Lokasi tepat di tengah kota hingga mempermudah tamu jika ingin explore Kota Batam. Makanan yang dipersiapkan untuk sarapan pun enak. Terima Kasih Aston Batam Hotel & Residence. Terima Kasih Traveloka.
Nuri S.,10,Profil ini privat.,"Aston Batam is great place to stay, baru pertama kali nginep disinu buat staycation. Tempatnya cozy, makanannya enak dan banyak variasi. Ga bakal bosen nginep di sini karena deket pusat kota Batam"
Senoaji A.,10,Profil ini privat.,"Sangat menyenangkan, hotel bagus kamar bersih, makanan enak, kolamrenang bagus, Gym bagus, lokasi juga mudah."
M Alamsah,10,10/31/2021,
