"Nama","Rating","Tanggal","Ulasan"
"christine","9.1","6-May-23","Kamar nya besar dan ada balkon. Helper nya helpful sekali."
"Nova999 9.","9.7","24-Apr-23",""
"Indah K.","9.4","18-Apr-23","Saya senang sekali menginap disini karena hotelnya mewah, kamarnya bagus lengkap dengan kulkas, desain nya serba kayu kayu unik, besok saya akan kesini lagi berlibur."
"Achman G.","8.5","16-Apr-23","Nyaman kamarnya. Karyawannya ramah dan baik."
"Steven M. B.","9.4","5-Apr-23","Akomodasi yang terlihat sama dengan gambar luas dan bersih, staffnya ramah cuma kasurnya kurang lebut. Shower di bathtub bocor. Balkonnya ok. Terima kasih."
"Ridwan","5.9","30-Mar-23","Tidak bisa tidur, suara musik diskotik terdengar ke kamar."
"Yuliartika Y.","10","17-Mar-23",""
"Daniel B. B.","8.5","6-Mar-23","Karana bukan saya yang menginap jadi saya tahu, tapi menurut dari penjelasan mereka, seperti nya mereka sangat menikmati fasilitas di sana. Aplagi sarapan gratisnya 😂👍."
"Try G. R. R.","9.7","6-Mar-23","Kamar bagus, bersih dan luas. Makanannya juga enak-enak. Overall okay, cuma agak terganggu dengan suara musik jedag jedug dari subuh sampai pagi jam 7 😂."
"Arindra Y. O.","9.3","23-Feb-23","Interior kamar khas menunjukkan bahwa ini hotel tua, karena hampir seluruh furniture di dalamnya menggunakan perabotan berbahan kayu dengan warna coklat tua. Aroma kamar kurang sedap karena saat pertama masuk tercium indikasi kamar ini lama tidak terhuni. Variasi makanan pun tidak begitu lengkap dan rasanya kurang enak, plusnya adalah kopinya menggunakan kopi premium dengan mesin brewer yang bagus sehingga rasanya nendang. Khusus terkait fasilitas kamar; Toiletnya bersih dan baru renovasi, apalagi ada bathtub makin asik buat berendam air hangat."
"Teguh B.","8.5","18-Feb-23","Pelayanan nya bagus. Makanan nya juga bervariasi."
"Yesi","8.5","18-Jan-23",""
"Siti Z.","9.1","6-Jan-23","Nyaman menginap di sini. Terima kasih."
"Jackie S. T.","9.7","16-Dec-22","Menyenangkan dan nyaman, pelayanan juga memuaskan."
"Fajar D. U.","5.3","4-Dec-22","Menginap 2 malam di sana, kamar tidak di houskeeping, semuanya OK, namun kenyamanan menjadi terganggu."
"Nur E. S.","9.7","8-Nov-22","Kamarnya bersih, luas dan pelayanannya ramah."
"dadang i.","9.7","20-Oct-22","Hotel yang nyaman saat ke Batam, fasilitas lengkap, kamar besar dan bersih, tempat hiburan juga tersedia tanpa jauh jauh keluar dari hotel."
"Antonina E. Y.","9.7","16-Oct-22","Pelayanan ok, kamar ok, makanan ok cuma aneh sama konsep kamar mandi. Shower dan bathtup jadi satu. Masa pembuangan air shower lewat bathtub."
"MUZITAR","8.5","Profil ini privat.","Ini sudah ke 2 kali saya nginap d sni. Dan 2x juga saya agak kecewa di kamar mandinya. Lantai kamar mandi tidak bisa kering habis mandi karena kemiringan lantai tidak ke floor drain."
"dwianto n.","6","21-Sep-22","Sepanjang malam berisik musik, kapok."
"Teguh B.","8.5","18-Feb-23","Pelayanan nya bagus. Makanan nya juga bervariasi."
"Yesi","8.5","18-Jan-23",""
"Siti Z.","9.1","6-Jan-23","Nyaman menginap di sini. Terima kasih."
"Jackie S. T.","9.7","16-Dec-22","Menyenangkan dan nyaman, pelayanan juga memuaskan."
"Fajar D. U.","5.3","4-Dec-22","Menginap 2 malam di sana, kamar tidak di houskeeping, semuanya OK, namun kenyamanan menjadi terganggu."
"Nur E. S.","9.7","8-Nov-22","Kamarnya bersih, luas dan pelayanannya ramah."
"dadang i.","9.7","20-Oct-22","Hotel yang nyaman saat ke Batam, fasilitas lengkap, kamar besar dan bersih, tempat hiburan juga tersedia tanpa jauh jauh keluar dari hotel."
"Antonina E. Y.","9.7","16-Oct-22","Pelayanan ok, kamar ok, makanan ok cuma aneh sama konsep kamar mandi. Shower dan bathtup jadi satu. Masa pembuangan air shower lewat bathtub."
