"Nama","Rating","Tanggal","Ulasan"
"Ucok S.","10","25-May-21","Perfect hotel to staycation or business trip. Check in process was quick and the room spacious with the large bedroom. Thank to chef maha, The breakfast menu has many choices and tastes good, Thank to Front office ( night shift forget the name) and Maya FO she very smart, good attitude, polite with a good hospitality, and Thanks to all staff who were very friendly, quick response and very helpful during my stay. I'll be back soon... swiss bell harbour bay batam is Fantastic."
"Haron K.","10","18-Feb-17","Pelanggan biasa harus memberikan diskon besar dan sarapan gratis"
"Mohammad N. B. A.","10","21-Sep-17","Itu tinggal pendek tapi senang. Ini bersih dan bernilai uang yang dihabiskan."
"Ester P.","10","4-Aug-20","Kamar yang bagus masih sejak terakhir saya tinggal di hotel ini beberapa tahun yang lalu. Satu-satunya hal yang mandi di salah satu kamar yang saya pesan memiliki beberapa masalah - saya memesan 2 kamar. Akan lebih baik jika bisa diperbaiki sebelum tebakan berikutnya menggunakannya. Secara keseluruhan itu masih pengalaman yang baik untuk tinggal di hotel ini dan masih 1 dari hotel favorit saya di kota."
"Abu B. O.","10","2-Sep-19","nyaman, menyenangkan dan semua staf mereka sangat ramah dan hormat.Hotel bagus"
"Predi K.","10","15-Aug-20","Kamar bersih, nyaman untuk menginap"
"July H.","10","Profil ini privat.","Tempat yang sangat nyaman untuk menginap. Pengalaman bersantap di dalam kamar sangat luar biasa, makanannya lezat. Ada sebuah supermarket dalam jarak berjalan kaki dari hotel. Secara keseluruhan sangat puas dengan menginap."
"Sri L. P.","10","10-Jan-15","Hotel yang nyaman, kamarnya rapi dan bersih, lobinya bersahabat, menu sarapannya sangat bervariasi"
"Muhammad R.","10","17-Nov-14","Koridor dan kamar sangat bersih, kolam renang menyenangkan, view kamar yang kearah laut luar biasa, makanan juga enak-enak, satu-satunya kekurangan mungkin hanya lift yang agak kurang cepat"
"Adiprasetya T.","10","4-Jun-15","Lokasi mudah dijangkau, tempat hiburan banyak, bersih, aman"
"Yudhy H. P.","10","2-Jun-16","Sangat bagus, bersih & nyaman. Sip deh!"
"Hendra M.","10","29-Apr-16","Dalam rangka perjalanan dinas, Saya sudah pernah bermalam di hampir seluruh hotel terkemuka di Batam, tetapi kelemahan rata rata hotel hotel tersebut adalah AC nya kurang bagus sehingga kamar menjadi kurang nyaman bagi saya. Hanya di Swiss-Bellhotel Harbour Bay yang AC nya berfungsi dengan baik sehingga kamar terasa nyaman. Satu satunya kekurangan adalah : Swiss Bellhotel Harbour Bay bersebelahan dengan Mall yang kurang aktif."
"Zoelkarnain Z.","10","22-Feb-16","Best hotel in batam and Riau Islands"
"Yuncta H.","10","4-Jan-16","Hotel cukup bagus tetapi km mandi saya kamar 418, closed nya memancarkan bau tidak sedap thanks"
"Mafirion","10","Profil ini privat.","Sangat baik. Menjadi salah satu hotel pilihan saya"
"Andy R. S.","10","9-Jan-17","Bagus. Pelayanan ramah dan kamarnya nyaman."
"Guest","10","22-Dec-16","Sangat memuaskan saya akan rekomendasikan teman teman untuk menginap di hotel ini"
"Rizaly O. P. A.","10","19-Dec-16","Hotel yang nyaman, bersih, breakfastnya ok, servicenya ok."
"datuaksimulia","10","29-Nov-16","Satu kawasan untuk semua.. ada nasi padang di belakang nya..mau nonton bioskop pun ada di sana.. tanpa keluar dari kawasan itu pun sudah cukup semua.. hotel nya bagus dan nyaman. bersih pulak.. hanya saja untuk ke pasar agak jauh siket.."
"alilham a.","10","23-Feb-17","Bagus ,Cuma pelayanan sedikit kurang baik"
"Pika S. D.","10","22-Feb-17","Suasana yang enak dan nyaman.."
"Nugroho A. D.","10","17-Feb-17","Enak, nyaman, tenang dan dekat dengan kuliner batam"
"Rudy R.","10","13-Feb-17","Pelayanan sangat memuaskan dan makanan sangat enak"
"nine m. s.","10","29-Jun-17","Hotelnya baru. Bersihdan deket mall"
"Erika J.","10","3-Jun-17","Kamarnya bersih dan nyaman. Pelayanannya juga bagus."
"Djumadil D.","10","2-May-17","ok, recommended kembali lagi menginap"
"Kadek H. P. A.","10","27-Mar-17","Mantap sesuai harga yang lumayan mahal"
"Abdul H.","10","11-Sep-17","Menginap di swiss-belhotel membuat kesan sangat indah bagi keluarga saya dan mereka ingin mengulanginya lagi menginap jika datang ke batam"
"frima y.","10","29-Aug-17","Bagus, recomended, lokasi ok thanks"
"Nirsaman T. R.","10","13-Nov-17","Sangat memuaskan buat saya dan keluarga."
"Nirsaman T. R.","10","13-Nov-17","sangat memuaskan skli dalam penginapan untuk keluarga"
"Samsudin","10","7-Nov-17","Cukup memuaskan, tapi harga terlalu mahal"
"Fika H.","10","3-Jun-18","Menyenangkan, ketika berbuka puasa dapat takjil (kolak, kurma, gorengan dan jus) diantar ke kamar."
"sky v.","10","1-Jul-18","Best overall dari semua hotel di Batam."
"veronica d. y. a.","10","Profil ini privat.","Kamarnya bagus, bersih, pelayanannya juga ramah, makanannya enak-enak, dekat sama mal, Next pasti menginap lagi karena lokasinya pas di depan Ferry Terminal Harbour Bay jadi enak kalau mau nyebrang ke Singapore tinggal jalan kaki, thank you."
"Sani f.","10","16-Nov-18","Hotel bagus bersih dekat dengan wei wei seafood."
"Muhammad F. A.","10","31-Jan-19",""
"Eka E.","10","7-Jan-19","Kamarnya bersih, nyaman, stafnya juga ramah-ramah."
"Bayu C.","10","18-May-19","Saya menikmati pengalaman menginap selama 5 hari, kamar dan service dari staff hotel sangat baik"
"Adi R.","10","17-Jan-20","Menyenangkan, nyaman dengan breakfast berparian."
"Nur I. L.","10","1-Sep-20","Hanya disaat check-in dan check-out saja yang agak lambat, selebihnya okay."
"J Kamal F.","10","10-Nov-20","Swiss-bell berikan pelayanan maksimal dalam situasi apapun, menginap di sini sangat menyenangkan, dilayani serasa di keluarga."
"Shinta A. I.","10","3-Nov-20","Pelayanan top, kamarnya bersih banget, sarapannya enak, dekat kemana-mana."
"zattil H.","10","27-Oct-20","Proses check-in dan check-out sangat cepat. Kamar bersih dan nyaman. very recommended."
"Dhony E. L.","10","19-Oct-20","Pelayanan sangat ramah, sudah memenuhi protokol kesehatan."
"Amira R.","10","26-Jan-21","Suasana dan pelayanannya recommended"
"Prayogi T.","10","3-Jan-21","Kamar bagus, lokasi strategis, makanan enak."
"aridhy","10","30-Dec-20","Menyenangkan, dari awal memang sudah jatuh cinta sama swissbell hotel, semua karyawan ramah, breakfast juga enak."
"Riau F.","10","23-Dec-20","Sangat baik sekali, pelayanan yang ramah."
"Thamrin S.","10","31-Jan-21","Sangat menyenangkan menginap di Swiss-Belhotel Harbor Bay. Nginap bersama keluarga dgn 2 connected room, tempat bersih, pelayanannya baik dan ramah. Walaupun masa tunggu check in nya agak lama, tp dikompensasi dgn minuman yg segar, jadi tidak terasa nunggu berlama-lama 🙂. Tempatnya juga strategis, byk area kuliner, ada tempat ngegym dan kolam renang (walaupun mungil). Menu breakfast juga lumayan berfariasi. Sukses terus Swiss-Belhotel Harbour Bay Batam, see you."
"Jet L. F.","10","16-May-21","kamar bersih, pelayanan bagus, dan menu untuk sarapannya bnyak dan enak-enak semua"
"Ferdinan L.","10","4-Apr-21","Pelayanan bagus kebersihan kamar ok banget."
"Medika z.","10","15-Aug-21","Hotelnya nyaman staffnya sangat ramah makanannya juga enak."
